texto,etapa
"demanda laboral  caba (modelo 1) señor juez del trabajo: ____________________, por mi propio derecho, con patrocinio letrado, constituyendo domicilio electrónico en lex100 bajo cuit ____________, vengo a interponer demanda contra ____________________ (cuit ____________), con domicilio en ____________________, por cobro de indemnizaciones, daños e intereses derivados de la relación laboral extinguida injustamente. i. relación laboral ingreso: __________. categoría: __________________. remuneración mensual: ______________. ii. hechos relato detallado del vínculo, incumplimientos, negativa de tareas  trato hostil  diferencias salariales, y posterior despido directo  indirecto según constancias. iii. rubros reclamados indemnización art. 245 lct, preaviso, integración mes despido, sac proporcional, vacaciones no gozadas, multas ley 25.323, art. 80 lct, etc. iv. derecho fundamento normativa aplicable: lct, ley 18.345, cct correspondiente, plenario vizzoti , tasas cnat. v. petitorio a) se corra traslado. b) se haga lugar íntegramente a la demanda. c) costas al demandado. firma  patrocinio",demanda_inicial
"contestación de demanda  caba (modelo 3) señor juez del trabajo: comparece __________________, en representación de ____________________, y contesta demanda promovida por ___________________. i. sobre violencia laboral se niega la existencia de acoso, hostigamiento o maltrato. no existen denuncias internas, sumarios ni constancias objetivas que respalden lo afirmado por la actora. ii. sobre daños y perjuicios la pretensión de daño moral carece de prueba y sustento jurídico. debe rechazarse conforme jurisprudencia cnat. iii. prueba oficio a art, pericia psicológica, pericia contable, documental obrante en legajo. iv. petición rechazo con costas. firma  apoderado",demanda_inicial
"certificado de cierre  imposibilidad de conciliar se.c.lo  certificado de cierre habiéndose celebrado las audiencias fijadas, y no habiendo arribado las partes a un acuerdo, el conciliador actuante deja constancia de la imposibilidad de conciliar, expidiendo el presente certificado a los fines previstos por la ley 24.635. actor: ____________________________ demandada: ________________________ se habilita al trabajador para iniciar acción judicial dentro del plazo de 90 días corridos. firma conciliador  sello",seclo
"contestación de agravios  pba (modelo 3) contestación de agravios (pba) la parte apelada contesta agravios conforme art. 57 ley 11.653. i. improcedencia del recurso los agravios carecen de fundamentación concreta, limitándose a afirmaciones dogmáticas sin rebatir argumentos del fallo. ii. corrección del pronunciamiento el fallo se ajusta a prueba producida, especialmente pericia contable y testimonial coherente. iii. petitorio se rechace el recurso y se confirme íntegramente la sentencia, con costas al apelante. firma  patrocinio",prueba
"recurso de apelación  caba (modelo 1) interposición de recurso de apelación (caba) en tiempo y forma, la parte actorademandada interpone recurso de apelación contra la sentencia dictada con fecha __________, por resultar agraviante en cuanto a sus considerandos y resolutorio. i. agravios generales la sentencia incurre en errores de valoración probatoria y aplicación normativa. ii. petitorio se conceda el recurso con efecto devolutivo, elevándose las actuaciones a la cámara nacional de apelaciones del trabajo. firma  patrocinio",prueba
"contestación de demanda  caba (modelo 1) señor juez del trabajo: ____________________, apoderado de __________________ (cuit ____________), con domicilio electrónico constituido en lex100, vengo a contestar la demanda interpuesta a fs. ___, negando en forma expresa cada uno de los hechos afirmados por la actora, salvo aquellos que fueran reconocimiento expreso en este escrito. i. negativas generales se niega que la relación laboral se haya desarrollado en las condiciones alegadas. se niega que existiera violencia, trato hostil, diferencias salariales, horas extras, tareas insalubres, o incumplimientos de cualquier tipo. ii. hechos defensivos la actora incurrió en reiterados incumplimientos, habiendo sido intimada en diversas oportunidades. el despido directo decidido por la empresa fue legítimo y proporcional conforme art. 242 lct. iii. prueba documental: legajo completo, recibos firmados, comunicaciones disciplinarias. testimonial: lista a ofrecerse en etapa procesal correspondiente. pericial contable. iv. petición se rechace íntegramente la demanda con costas. firma  apoderado",demanda_inicial
"ampliación de reclamo  seclo se.c.lo  ampliación de reclamo comparece el trabajador ___________________, dni __________, y manifiesta que, posteriormente a la presentación inicial, tomó conocimiento de nuevas circunstancias que agravan la conducta de la empleadora __________________________. se amplía el reclamo incluyendo:  diferencias salariales por adicionales no abonados.  falta de depósito de aportes y contribuciones en tiempo y forma.  exposición a trato hostil por parte de supervisores, configurando violencia laboral. solicita se incorpore la presente ampliación y se mantenga la audiencia fijada. firma trabajador  firma letrado",seclo
"ratificación de reclamo  audiencia seclo en la ciudad autónoma de buenos aires, comparece el trabajador __________________, dni ________, asistido por su letrado, y ratifica en todos sus términos el reclamo iniciado ante se.c.lo. manifiesta que la empleadora no abonó: _______________________________________. solicita se intime propuesta conciliatoria y se tenga por ampliados los hechos y rubros reclamados. firma trabajador  firma letrado  conciliador",seclo
"demanda laboral  pba (modelo 2) señora jueza del juzgado de trabajo n ___: ___________________, con patrocinio letrado, promueve demanda contra ____________________, por diferencias salariales derivadas de incorrecta aplicación del cct correspondiente. i. diferencias remuneratorias se reclaman adicionales no abonados, presentismo, horas extras y nocturnidad conforme convenio. ii. multas se solicita aplicación art. 1 y 2 ley 25.323 por negativa injustificada de la empleadora. iii. petición se condene al pago total más intereses. firma  letrado",demanda_inicial
"contestación de demanda  caba (modelo 2) señor juez del trabajo: representando a __________________ (cuit ____________), contesto demanda rechazando en su totalidad los hechos, rubros y montos reclamados. i. registración se niega categóricamente la supuesta registración deficiente. la actora siempre estuvo correctamente registrada conforme afip, anses y libro art. 52 lct. ii. despido indirecto improcedente la trabajadora se colocó injustamente en situación de despido. la intimación previa careció de sustento fáctico. debe considerarse un abandono voluntario de tareas. iii. excepciones se opone excepción de prescripción respecto de rubros anteriores a __________. iv. petitorio rechazo total, con costas a la actora. firma  apoderado",demanda_inicial
"acta de audiencia  propuesta de acuerdo frustrada acta de audiencia  se.c.lo en la ciudad autónoma de buenos aires, a los ___ días del mes de __________ de 20__, comparecen el trabajador ___________________ y el representante de la empleadora __________________________ junto al conciliador designado. la parte empleadora formula propuesta de acuerdo por la suma de _________________, la cual es rechazada por el trabajador por considerarla insuficiente frente a los rubros reclamados y la antigüedad acreditada. no habiendo nuevas alternativas de conciliación, el conciliador deja constancia de audiencia frustrada, quedando pendiente la emisión del certificado correspondiente. firma trabajador  firma empleadora  conciliador",seclo
"contestación de demanda  pba (modelo 3) señora jueza del juzgado de trabajo n ___: __________________, en representación de __________________, contesta demanda iniciada por __________________. i. sobre enfermedad profesional la afección alegada no reviste carácter laboral. no fue denunciada en tiempo oportuno y no existe nexo causal con el trabajo. ii. responsabilidad la empresa cumplió con toda normativa de higiene y seguridad, no existiendo incumplimiento alguno imputable. iii. prueba historia clínica, pericia médica, documental interna, oficios a art. iv. petición rechazo íntegro con costas. firma  apoderado",demanda_inicial
"demanda laboral  caba (modelo 2) señor juez del trabajo: ____________________, por derecho propio, con patrocinio letrado, constituyendo domicilio electrónico en lex100, promueve formal demanda contra __________________ (cuit ____________) reclamando indemnizaciones laborales y multas por deficiente registración. i. registración deficiente el actor fue registrado parcialmente, consignándose fecha de ingreso posterior a la real y remuneración inferior a la percibida. ii. despido indirecto se constituyó en situación de despido indirecto al no cumplirse con la intimación previa remitida mediante tcl de fecha __________. iii. reclamo económico base remuneratoria determinada conforme mejor remuneración mensual, normal y habitual . incluye: art. 1 y 2 ley 25.323, art. 80 lct, diferencias salariales y multas complementarias. iv. petitorio se ordene pago total con intereses y costas. firma  patrocinio",demanda_inicial
"acta de audiencia testimonial acta de audiencia testimonial en la ciudad de __________________, comparecen los testigos citados en autos ________________ s despido . i. testigo 1: ____________________ declara: ____________________________________________________________. ii. testigo 2: ____________________ declara: ____________________________________________________________. las partes manifiestan conformidad. se cierra el acto.",prueba
"demanda laboral  caba (modelo 3) señor juez del trabajo: _____________________, por mi propio derecho, asistido por letrado, inicia demanda por despido y daños contra __________________ (cuit ____________). i. violencia laboral el actor fue objeto de hostigamiento reiterado por superiores jerárquicos, configurando injuria suficiente conforme art. 242 lct. ii. daño moral se reclama daño moral y psíquico por afectación a la dignidad del trabajador, citando precedente cnat sala ii álvarez c cencosud . iii. prueba documental, testimonial, pericial contable y psicológica. iv. petición se haga lugar al reclamo en todas sus partes. firma  patrocinio",demanda_inicial
expresión de agravios  caba (modelo 2) expresión de agravios (caba) la parte recurrente formula expresión de agravios conforme art. 116 ley 18.345. i. error en valoración testimonial el fallo otorga valor excesivo a testimonios contradictorios y descarta indebidamente pericia contable favorable. ii. error en aplicación normativa la sentencia aplica incorrectamente el art. 245 lct y omite considerar doctrina de la cnat sobre base salarial habitual. iii. petitorio revocación totalparcial de la sentencia. firma  patrocinio,prueba
"acta de audiencia art. 58  incomparecencia actor acta de audiencia  art. 58 ley de ordenamiento (caba) en la ciudad autónoma de buenos aires, a los ___ días del mes de __________ de 20__, se realiza audiencia en autos ________________ c _________________ s despido . comparece: representante de la demandada ____________________. no comparece: el actor, pese a estar notificado electrónicamente. i. consecuencias se deja constancia de incomparecencia del actor, pudiendo tener por desistida la instancia. ii. petición de la demandada se solicita archivo de las actuaciones y costas. firma demandada  firma juez",demanda_inicial
"contestación de demanda  pba (modelo 2) señora jueza: ___________________, por la empresa ____________________, contesta demanda negando hechos y rubros reclamados. i. despido el despido decidido fue con causa, fundado en incumplimientos reiterados del trabajador, debidamente notificados. ii. multas se rechazan multas ley 25.323 por inexistencia de mora imputable a la empleadora. iii. prueba pericia médica, pericia contable, documental, oficios, testigos. iv. petitorio se rechace la demanda y se impongan costas al actor. firma  apoderado",demanda_inicial
"demanda laboral  pba (modelo 3) señora jueza del juzgado de trabajo n ___: __________________, asistido por letrado, inicia demanda contra __________________ (cuit ____________), por despido indirecto y enfermedad profesional no registrada. i. enfermedad laboral el actor notificó síntomas y se negó atención por art, agravándose cuadro clínico. ii. rubros indemnización art. 245, daño moral, daño físico, gastos médicos y multas. iii. prueba pericia médica, contable, oficios, historia clínica. firma  letrado",demanda_inicial
"solicitud de oficios solicitud de oficios  etapa probatoria se solicita libramiento de oficios a los siguientes organismos:  afip: registración, alta y baja del trabajador.  anses: historia laboral completa.  art ____________________: denuncias, prestaciones y dictámenes médicos.  banco ____________________: movimiento de la cuenta sueldo. se adjuntan proyectos de oficio para su confronte.",prueba
"acta de audiencia art. 58  incomparecencia demandada acta de audiencia  art. 58 ley de ordenamiento (caba) en la ciudad autónoma de buenos aires, a los ___ días del mes de __________ de 20__, se celebra audiencia de conciliación en autos ________________ c _________________ s despido . comparece: el actor _____________________ con su letrado. no comparece: la demandada, pese a notificación válida. i. consecuencias se deja constancia de la incomparecencia injustificada de la demandada. ii. manifestación del actor ratifica demanda y solicita apertura a prueba inmediata. firma actor  firma juez",demanda_inicial
impugnación a pericia contable observaciones e impugnación a pericia contable la parte actorademandada formula las siguientes observaciones: 1. el perito omitió considerar recibos agregados a fs. ___. 2. se utilizó una base salarial incorrecta para el cálculo de diferencias. 3. no se evaluaron debidamente los aportes faltantes denunciados. solicita aclaraciones y nueva pericia complementaria en caso de ser necesario.,prueba
"presentación reclamo seclo se.c.lo  servicio de conciliación laboral obligatoria yo, ________________________, dni ____________, con patrocinio letrado de ___________________, constituyendo domicilio en ____________________, solicito se tenga por iniciado reclamo contra ______________________, cuit ______________, conforme ley 24.635. i. relación laboral: ingreso __________. categoría ____________. remuneración __________. ii. hechos: se describen incumplimientos: __________________________________. iii. petición: se cite a audiencia obligatoria y se intime exhibir documentación laboral. firma trabajador  firma letrado",seclo
ofrecimiento de prueba documental ofrecimiento de prueba documental el actordemandado ofrece como prueba: 1. recibos de haberes correspondientes al período ___ a ___. 2. telegramas laborales enviados y recibidos. 3. certificaciones de afip y anses. 4. libro art. 52 lct (a exhibirse por la empleadora). solicita su agregación y se intimen a la contraria a acompañar la documental faltante.,prueba
"alegato  caba (modelo 1) alegato  parte actora (caba) en tiempo y forma, la parte actora presenta alegato final conforme art. 90 l.o. i. hechos probados la prueba testimonial acreditó la existencia de horas extras y tareas adicionales no remuneradas. la pericia contable confirmó diferencias salariales y omisiones en aportes. ii. despido indirecto las intimaciones previas y silencios de la empleadora justificaron el despido indirecto. iii. derecho corresponde aplicar art. 245 lct, multas ley 25.323 y jurisprudencia de la cnat. iv. petitorio que se haga lugar a la demanda en todas sus partes. firma  patrocinio",prueba
"apertura a prueba  proveído proveído  apertura a prueba (cabapba) en la fecha, y conforme lo solicitado, ábrese la causa a prueba por el término de cuarenta (40) días hábiles, debiendo las partes producir las pruebas ofrecidas bajo apercibimiento de caducidad automática. notifíquese y hágase saber.",demanda_inicial
"solicitud de embargo solicitud de embargo  ejecución de sentencia ante el incumplimiento del plazo de pago, la parte actora solicita traba de embargo por la suma de __________, más intereses y costas. i. cuentas bancarias se solicitan oficios a entidades bancarias para traba inmediata. ii. inhibición general se pide inscripción de inhibición general de bienes ante el registro de la propiedad. iii. petitorio se ordene la medida con habilitación de días y horas inhábiles. firma  patrocinio",sentencia
"intimación de pago  5 días intimación de pago  5 días la parte actora intima al demandado a abonar la liquidación aprobada en autos dentro del plazo de cinco (5) días hábiles, bajo apercibimiento de solicitar embargo sobre cuentas bancarias, bienes registrables e ingresos detectables. se acompañan datos bancarios para pago voluntario. firma  patrocinio",sentencia
